"","hhid14","commid14","sc01_14_14","sc02_14_14","sc03_14_14","year","asset","natrep","natdis","assistance","assistance.x","wealth","wealth.0","asset.lag","asset.ihs","asset.ihs.lag","wealth.lag","asset.ihs.delta","natrep.0","natrep.1","natdis.0","natdis.1","assistance.prop.ihs"
"126","0041600","1204",12,6,71,2014,152989000,0,0,0,0,3,3,106360782,19.5390237619072,19.1754946572601,4,0.363529104647093,0,0,0,0,0
"127","0041700","32B8",32,76,31,2007,0,0,0,0,0,1,4,85902190,0,18.9618670619508,4,-18.9618670619508,0,0,0,0,0
"128","0041700","32B8",32,76,31,2014,207700000,0,0,0,0,4,4,0,19.8447524694063,0,1,19.8447524694063,0,0,0,0,0
"129","0041800","1204",12,6,71,2007,37652.5,0,0,0,0,1,1,5574034.4,11.2293018128223,16.2267768390755,1,-4.99747502625324,0,0,0,0,0
"130","0041800","1204",12,6,71,2014,8865000,0,0,0,0,1,1,37652.5,16.6907686780504,11.2293018128223,1,5.4614668652281,0,0,0,0,0
"131","0042000","1204",12,6,71,2007,0,1,0,0,0,1,4,121632376.8,0,19.3096609291952,4,-19.3096609291952,1,0,0,0,0
"132","0042000","1204",12,6,71,2014,16700000,0,0,0,0,1,4,0,17.3240664579469,0,1,17.3240664579469,1,0,0,0,0
"133","0042222","1204",12,6,71,2007,17169540,0,0,0,0,1,1,0,17.3517946221603,0,1,17.3517946221603,0,0,0,0,0
"134","0042222","1204",12,6,71,2014,13110000,0,0,0,0,1,1,17169540,17.0820330362998,17.3517946221603,1,-0.269761585860508,0,0,0,0,0
"135","0042300","1204",12,6,71,2007,68256452,0,0,0,0,3,4,78628616,18.7319297029197,18.8733934429483,4,-0.141463740028655,0,0,0,0,0
"136","0042300","1204",12,6,71,2014,57385000,0,0,0,0,2,4,68256452,18.5584406836569,18.7319297029197,3,-0.173489019262838,0,0,0,0,0
"137","0042321","32OP",36,71,41,2007,11898190,0,0,0,0,1,1,0,16.9850440262329,0,1,16.9850440262329,0,1,0,0,0
"138","0042321","32OP",36,71,41,2014,285400000,1,0,0,0,4,1,11898190,20.162549443567,16.9850440262329,1,3.17750541733409,0,1,0,0,0
"139","0042400","1204",12,6,71,2007,24431954.2,0,0,0,0,2,2,20041472,17.704549612408,17.5064614651371,2,0.198088147270887,0,0,0,0,0
"140","0042400","1204",12,6,71,2014,118490000,0,0,0,0,3,2,24431954.2,19.2834863073529,17.704549612408,2,1.57893669494483,0,0,0,0,0
"141","0042500","1204",12,6,71,2007,0,0,0,0,0,1,4,104135944,0,19.1543549379299,4,-19.1543549379299,0,1,0,1,0
"142","0042500","1204",12,6,71,2014,85700000,1,1,0,0,3,4,0,18.959510564128,0,1,18.959510564128,0,1,0,1,0
"143","0042531","1204",12,6,71,2007,3991165,0,0,0,0,1,1,1955751.6,15.892740906758,15.1794323082075,1,0.713308598550556,0,0,0,0,0
"144","0042531","1204",12,6,71,2014,8040000,0,0,0,0,1,1,3991165,16.5930868217151,15.892740906758,1,0.700345914957065,0,0,0,0,0
"145","0042600","1204",12,6,71,2007,301220,0,0,0,0,1,2,15799740,13.3087433543285,17.2686512227255,2,-3.959907868397,0,0,0,0,0
"146","0042600","1204",12,6,71,2014,14642000,0,0,0,0,1,2,301220,17.1925518497487,13.3087433543285,1,3.88380849542013,0,0,0,0,0
"147","0042800","1204",12,6,71,2007,2447412.5,0,0,0,0,1,3,35727340,15.4036890825416,18.084573960545,3,-2.68088487800336,0,0,0,0,0
"148","0042800","1204",12,6,71,2014,47050000,0,0,0,0,2,3,2447412.5,18.3598686045556,15.4036890825416,1,2.95617952201398,0,0,0,0,0
"149","0042900","1204",12,6,71,2007,18976860,0,0,0,0,1,2,14732190,17.4518780807173,17.1986926341186,2,0.253185446598685,0,0,0,0,0
"150","0042900","1204",12,6,71,2014,115852000,0,0,0,0,3,2,18976860,19.2609712529567,17.4518780807173,1,1.80909317223934,0,0,0,0,0
"151","0043022","1204",12,6,71,2007,212570954,0,0,0,0,5,2,29309514.08,19.8679335723326,17.8865699144675,2,1.98136365786507,0,0,0,0,0
"152","0043022","1204",12,6,71,2014,81700000,0,0,0,0,3,2,212570954,18.9117117403902,19.8679335723326,5,-0.95622183194239,0,0,0,0,0
"153","0050131","12CN",12,7,50,2007,85697090,0,0,0,0,3,2,26930728,18.9594766078922,17.801925678031,2,1.15755092986118,0,1,0,0,0
"154","0050131","12CN",12,7,50,2014,4.41e+08,1,0,0,0,5,2,85697090,20.5977026139711,18.9594766078922,3,1.6382260060789,0,1,0,0,0
"155","0050300","1205",12,7,50,2007,150610,0,0,0,0,1,1,0,12.6155961737769,0,1,12.6155961737769,0,0,0,0,0
"156","0050300","1205",12,7,50,2014,3050000,0,0,0,0,1,1,150610,15.6237993291436,12.6155961737769,1,3.0082031553667,0,0,0,0,0
"157","0050400","1205",12,7,50,2007,92323930,0,0,0,0,3,4,108107230,19.0339611097021,19.191781343449,4,-0.157820233746982,0,0,0,0,0
"158","0050400","1205",12,7,50,2014,3.4e+07,0,0,0,0,2,4,92323930,18.0350182631404,19.0339611097021,3,-0.998942846561672,0,0,0,0,0
"159","0050600","1205",12,7,50,2007,74551950,0,0,0,0,3,4,111309880,18.8201539363345,19.2209757619585,4,-0.400821825623986,0,0,0,0,0
"160","0050600","1205",12,7,50,2014,67900000,0,0,0,0,2,4,74551950,18.7266937730889,18.8201539363345,3,-0.0934601632456626,0,0,0,0,0
"161","0050700","1205",12,7,50,2007,273583065,0,0,0,0,5,4,133230240,20.1202630254271,19.4007364978908,4,0.719526527536296,0,0,0,0,0
"162","0050700","1205",12,7,50,2014,570050000,0,0,0,0,5,4,273583065,20.8543818148039,20.1202630254271,5,0.734118789376851,0,0,0,0,0
"163","0050800","1205",12,7,50,2007,63557420,1,0,0,0,3,3,60494500,18.6606014878019,18.6112101903376,3,0.0493912974642292,1,0,0,0,0
"164","0050800","1205",12,7,50,2014,61835000,0,0,0,0,2,3,63557420,18.6331272857182,18.6606014878019,3,-0.0274742020836136,1,0,0,0,0
"165","0050900","14BQ",14,7,51,2007,144660905,0,0,0,0,4,3,51982568,19.4830501559744,18.459566170134,3,1.02348398584043,0,0,0,0,0
"166","0050900","14BQ",14,7,51,2014,44550000,0,0,0,0,2,3,144660905,18.305269892441,19.4830501559744,4,-1.17778026353341,0,0,0,0,0
"167","0051000","1205",12,7,50,2007,2259150,0,0,0,0,1,2,17080800,15.3236463748681,17.3466127641953,2,-2.02296638932715,0,0,0,0,0
"168","0051000","1205",12,7,50,2014,13400000,0,0,0,0,1,2,2259150,17.1039124454811,15.3236463748681,1,1.78026607061299,0,0,0,0,0
"169","0051100","1205",12,7,50,2007,130827376.5,0,0,0,0,4,2,12810600,19.3825364561057,17.0589306917435,2,2.32360576436227,0,0,0,0,0
"170","0051100","1205",12,7,50,2014,55600000,0,0,0,0,2,2,130827376.5,18.5268409397808,19.3825364561057,4,-0.855695516324992,0,0,0,0,0
"171","0051300","1205",12,7,50,2007,89010510,0,0,0,0,3,4,145813096,18.9974121911719,19.4909833757386,4,-0.493571184566637,0,0,0,0,0
"172","0051300","1205",12,7,50,2014,97800000,0,0,0,0,3,4,89010510,19.091582315565,18.9974121911719,3,0.0941701243930524,0,0,0,0,0
